Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
SFM,SPROUTS FARMERS MARKET INC,Consumer Staples,Equity,350225722,0.48,350225722,2725492,128.5,United States,NASDAQ,USD,1,USD,-
FTAI,FTAI AVIATION LTD,Industrials,Equity,349309084.35,0.48,349309084.35,2748085,127.11,United States,NASDAQ,USD,1,USD,-
INSM,INSMED INC,Health Care,Equity,323757571.81,0.44,323757571.81,4651021,69.61,United States,NASDAQ,USD,1,USD,-
PCVX,VAXCYTE INC,Health Care,Equity,271394517.27,0.37,271394517.27,3351791,80.97,United States,NASDAQ,USD,1,USD,-
CRDO,CREDO TECHNOLOGY GROUP HOLDING LTD,Information Technology,Equity,261896868.09,0.36,261896868.09,3779721,69.29,United States,NASDAQ,USD,1,USD,-
RKLB,ROCKET LAB USA INC CLASS A,Industrials,Equity,255765217.28,0.35,255765217.28,9396224,27.22,United States,NASDAQ,USD,1,USD,-
AIT,APPLIED INDUSTRIAL TECHNOLOGIES IN,Industrials,Equity,252284723.55,0.35,252284723.55,1044441,241.55,United States,New York Stock Exchange Inc.,USD,1,USD,-
IONQ,IONQ INC,Information Technology,Equity,246978003,0.34,246978003,5430475,45.48,United States,New York Stock Exchange Inc.,USD,1,USD,-
MLI,MUELLER INDUSTRIES INC,Industrials,Equity,241485756.72,0.33,241485756.72,3020082,79.96,United States,New York Stock Exchange Inc.,USD,1,USD,-
FLR,FLUOR CORP,Industrials,Equity,231725987.9,0.32,231725987.9,4628965,50.06,United States,New York Stock Exchange Inc.,USD,1,USD,-
GTLS,CHART INDUSTRIES INC,Industrials,Equity,223779624.9,0.31,223779624.9,1160081,192.9,United States,New York Stock Exchange Inc.,USD,1,USD,-
HQY,HEALTHEQUITY INC,Health Care,Equity,223405503.3,0.31,223405503.3,2319891,96.3,United States,NASDAQ,USD,1,USD,-
CRS,CARPENTER TECHNOLOGY CORP,Materials,Equity,219688399.42,0.3,219688399.42,1287287,170.66,United States,New York Stock Exchange Inc.,USD,1,USD,-
FN,FABRINET,Information Technology,Equity,216011811.21,0.3,216011811.21,984243,219.47,United States,New York Stock Exchange Inc.,USD,1,USD,-
SSB,SOUTHSTATE CORP,Financials,Equity,209672157.24,0.29,209672157.24,2083802,100.62,United States,New York Stock Exchange Inc.,USD,1,USD,-
