시간, 총평가가치, 현금, 평가금액, 보유종목, 수량, 평균가, 현재가, 추적손절가, 손절가, 손절지표
2024-12-24 13:02:05, 94320.72, 18854.1, 75466.62, BA, 26.0, 179.23, 179.05, 177.26, 0.0, 
2024-12-24 13:02:05, 94320.72, 18854.1, 75466.62, DKS, 20.0, 226.08, 225.21, 222.96, 0.0, 
2024-12-24 13:02:05, 94320.72, 18854.1, 75466.62, EBAY, 73.0, 64.38, 63.78, 63.14, 0.0, 
2024-12-24 13:02:05, 94320.72, 18854.1, 75466.62, GBTC, 54.0, 85.44, 78.54, 77.75, 0.0, 
2024-12-24 13:02:05, 94317.3, 18854.1, 75463.2, HUBS, 6.0, 743.96, 721.36, 714.15, 0.0, 
2024-12-24 13:02:05, 94317.3, 18854.1, 75463.2, IWF, 33.0, 418.7, 416.57, 412.4, 0.0, 
2024-12-24 13:02:05, 94317.3, 18854.1, 75463.2, PLTR, 171.0, 82.06, 82.33, 81.51, 0.0, 
2024-12-24 13:02:05, 94317.3, 18854.1, 75463.2, RGTI, 1043.0, 9.08, 11.3, 11.19, 0.0, 
2024-12-24 13:02:05, 94317.3, 18854.1, 75463.2, V, 42.0, 320.93, 320.65, 317.44, 0.0, 
2024-12-24 13:03:05, 94344.43, 18854.1, 75490.33, BA, 26.0, 179.23, 179.0, 177.21, 0.0, 
2024-12-24 13:03:05, 94344.43, 18854.1, 75490.33, DKS, 20.0, 226.08, 225.21, 222.96, 0.0, 
2024-12-24 13:03:05, 94344.43, 18854.1, 75490.33, EBAY, 73.0, 64.38, 63.78, 63.14, 0.0, 
2024-12-24 13:03:05, 94344.43, 18854.1, 75490.33, GBTC, 54.0, 85.44, 78.55, 77.76, 0.0, 
2024-12-24 13:03:05, 94344.43, 18854.1, 75490.33, HUBS, 6.0, 743.96, 721.36, 714.15, 0.0, 
2024-12-24 13:03:05, 94344.43, 18854.1, 75490.33, IWF, 33.0, 418.7, 416.57, 412.4, 0.0, 
2024-12-24 13:03:05, 94344.43, 18854.1, 75490.33, PLTR, 171.0, 82.06, 82.31, 81.49, 0.0, 
2024-12-24 13:03:05, 94344.43, 18854.1, 75490.33, RGTI, 1043.0, 9.08, 11.33, 11.22, 0.0, 
2024-12-24 13:03:05, 94344.43, 18854.1, 75490.33, V, 42.0, 320.93, 320.65, 317.44, 0.0, 
2024-12-24 13:04:05, 94335.58, 18854.1, 75481.48, BA, 26.0, 179.23, 179.0, 177.21, 0.0, 
2024-12-24 13:04:05, 94335.58, 18854.1, 75481.48, DKS, 20.0, 226.08, 225.21, 222.96, 0.0, 
2024-12-24 13:04:05, 94335.58, 18854.1, 75481.48, EBAY, 73.0, 64.38, 63.78, 63.14, 0.0, 
2024-12-24 13:04:05, 94335.58, 18854.1, 75481.48, GBTC, 54.0, 85.44, 78.57, 77.78, 0.0, 
2024-12-24 13:04:05, 94335.58, 18854.1, 75481.48, HUBS, 6.0, 743.96, 721.36, 714.15, 0.0, 
2024-12-24 13:04:05, 94335.58, 18854.1, 75481.48, IWF, 33.0, 418.7, 416.57, 412.4, 0.0, 
2024-12-24 13:04:05, 94335.58, 18854.1, 75481.48, PLTR, 171.0, 82.06, 82.31, 81.49, 0.0, 
2024-12-24 13:04:05, 94335.58, 18854.1, 75481.48, RGTI, 1043.0, 9.08, 11.32, 11.21, 0.0, 
2024-12-24 13:04:05, 94335.58, 18854.1, 75481.48, V, 42.0, 320.93, 320.65, 317.44, 0.0, 
2024-12-24 13:05:05, 94355.92, 18854.1, 75501.82, BA, 26.0, 179.23, 179.0, 177.21, 0.0, 
2024-12-24 13:05:05, 94355.92, 18854.1, 75501.82, DKS, 20.0, 226.08, 225.21, 222.96, 0.0, 
2024-12-24 13:05:05, 94355.92, 18854.1, 75501.82, EBAY, 73.0, 64.38, 63.78, 63.14, 0.0, 
