,시간,종목,bb1돌파1,bb1돌파2,bb1아래,bb2아래,bb2돌파1,bb1터치,bb2돌파2,RSI다이버,정배열,SMA돌파,종가밑SMA,매수의견,매수근거,매수강도,price,손절가,손절근거,추적손절가,거래대금,손절가터치,저항선터치,손절가후보,손절가후보근거,무저항매도,매도의견,매도근거,보유의견
0,2024-06-03 13:30:00+00:00,DECK,False,False,False,False,False,False,0,0,1.0,2,SMA_5,True,sma,1,183.33,180.94,SMA_5,182.96,177736699.06,False,False,0.0,,False,False,,False
1,2024-06-03 13:30:00+00:00,LLY,False,True,False,False,False,False,0,0,1.0,1,SMA_60,True,sma,1,819.83,809.48,SMA_60,818.19,862428.19,False,False,0.0,,False,False,,False
2,2024-06-03 13:31:00+00:00,DECK,False,False,False,False,False,False,0,0,1.0,2,SMA_5,True,sma,1,183.82,181.3,SMA_5,183.45,177736699.06,False,True,182.93,bb1_upper,False,True,|TakeProfit|,False
3,2024-06-03 13:31:00+00:00,LLY,False,True,False,False,False,False,0,0,1.0,1,SMA_60,True,sma,1,821.52,811.1,SMA_60,819.88,862428.19,False,False,811.1,SMA_60,False,False,,False
4,2024-06-03 13:32:00+00:00,DECK,False,False,False,False,False,False,0,0,1.0,2,SMA_5,True,sma,1,184.13,180.94,SMA_5,183.76,177736699.06,False,False,0.0,,False,False,,False
5,2024-06-03 13:32:00+00:00,LLY,False,True,False,False,False,False,0,0,1.0,1,SMA_60,True,sma,1,820.93,811.1,SMA_60,819.88,862428.19,False,False,811.1,SMA_60,False,False,,False
6,2024-06-03 13:33:00+00:00,DECK,False,False,False,False,False,False,0,0,1.0,2,SMA_5,True,sma,1,183.64,181.3,SMA_5,183.76,177736699.06,True,True,182.93,bb1_upper,False,True,|StopLoss|TakeProfit|,False
7,2024-06-03 13:33:00+00:00,APO,False,False,False,False,False,False,0,0,1.0,2,SMA_5,True,sma,1,116.95,115.23,SMA_5,116.72,23200.0,False,False,0.0,,False,False,,False
8,2024-06-03 13:34:00+00:00,APO,False,False,False,False,False,False,0,0,1.0,0,,False,,0,116.35,115.46,SMA_5,0.0,23200.0,True,False,115.46,SMA_5,False,True,|StopLoss|,False
9,2024-06-03 13:34:00+00:00,DECK,False,False,False,False,False,False,0,0,1.0,1,SMA_20,True,sma,1,182.8,180.02,SMA_20,182.43,177736699.06,False,False,0.0,,False,False,,False
10,2024-06-03 13:34:00+00:00,TMUS,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,176.41,174.1,SMA_5,176.06,120372.48,False,False,0.0,,False,False,,False
11,2024-06-03 13:35:00+00:00,DECK,False,False,False,False,False,False,0,0,1.0,1,SMA_20,True,sma,1,183.1,180.38,SMA_20,182.73,177736699.06,False,True,180.94,SMA_5,False,True,|TakeProfit|,False
12,2024-06-03 13:35:00+00:00,LLY,False,True,False,False,True,False,0,0,1.0,1,SMA_60,True,sma,1,824.0,811.1,SMA_60,822.35,862428.19,False,True,820.96,bb1_upper,False,True,|TakeProfit|,False
13,2024-06-03 13:35:00+00:00,TMUS,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,177.06,174.45,SMA_5,176.71,120372.48,False,True,174.96,bb2_upper,False,True,|TakeProfit|,False
14,2024-06-03 13:36:00+00:00,DECK,False,False,False,False,False,False,0,0,1.0,1,SMA_20,True,sma,1,182.33,180.02,SMA_20,181.97,177736699.06,False,False,0.0,,False,False,,False
15,2024-06-03 13:36:00+00:00,LLY,False,True,False,False,True,False,0,0,1.0,1,SMA_60,True,sma,1,823.88,809.48,SMA_60,822.23,862428.19,False,False,0.0,,False,False,,False
16,2024-06-03 13:37:00+00:00,DECK,False,False,False,False,False,False,0,0,1.0,0,,False,,0,182.03,180.38,SMA_20,0.0,177736699.06,False,True,180.94,SMA_5,False,True,|TakeProfit|,False
17,2024-06-03 13:37:00+00:00,LLY,False,True,False,False,True,False,0,0,1.0,1,SMA_60,True,sma,1,824.16,811.1,SMA_60,822.51,862428.19,False,True,820.96,bb1_upper,False,True,|TakeProfit|,False
18,2024-06-03 13:37:00+00:00,TMUS,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,177.56,174.1,SMA_5,177.2,120372.48,False,False,0.0,,False,False,,False
19,2024-06-03 13:38:00+00:00,TMUS,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,176.68,174.45,SMA_5,177.2,120372.48,True,True,174.96,bb2_upper,False,True,|StopLoss|TakeProfit|,False
20,2024-06-03 13:38:00+00:00,LLY,False,True,False,False,True,False,0,0,1.0,1,SMA_60,True,sma,1,823.89,809.48,SMA_60,822.25,862428.19,False,False,0.0,,False,False,,False
21,2024-06-03 13:39:00+00:00,LLY,False,True,False,False,True,False,0,0,1.0,3,SMA_5,True,sma,1,828.34,817.02,SMA_5,826.68,862428.19,False,True,823.58,bb2_upper,False,True,|TakeProfit|,False
22,2024-06-03 13:39:00+00:00,TMUS,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,176.58,174.1,SMA_5,176.23,120372.48,False,False,0.0,,False,False,,False
23,2024-06-03 13:40:00+00:00,TMUS,False,False,False,False,True,False,0,0,1.0,1,SMA_5,True,sma,1,176.96,174.45,SMA_5,176.61,120372.48,False,True,174.96,bb2_upper,False,True,|TakeProfit|,False
24,2024-06-03 13:40:00+00:00,LLY,False,True,False,False,True,False,0,0,1.0,2,SMA_20,True,sma,1,825.66,815.34,SMA_20,824.01,862428.19,False,False,0.0,,False,False,,False
