시간, 총평가가치, 현금, 평가금액, 보유종목, 수량, 평균가, 현재가, 추적손절가, 손절가, 손절지표
2024-11-01 09:30:00, 100000.0, 90029.06, 9970.94, CMCSA, 113, 44.05, 44.05, 43.6, 43.14, SMA_20
2024-11-01 09:30:00, 100000.0, 90029.06, 9970.94, SOFI, 448, 11.15, 11.15, 11.04, 10.91, bb1_lower
2024-11-01 09:31:00, 99995.37, 85354.12, 14641.24, SOFI, 448, 11.15, 11.09, 11.04, 11.02, bb1_lower
2024-11-01 09:31:00, 99995.37, 85354.12, 14641.24, AMZN, 25, 199.83, 199.83, 197.83, 195.7, bb2_lower
2024-11-01 09:31:00, 99995.37, 85354.12, 14641.24, BKNG, 1, 4677.18, 4677.18, 4630.4, 4581.84, SMA_20
2024-11-01 09:32:00, 100005.89, 80096.99, 19908.9, SOFI, 448, 11.15, 11.05, 11.04, 11.02, bb1_lower
2024-11-01 09:32:00, 100005.89, 80096.99, 19908.9, AMZN, 50, 199.91, 199.98, 197.98, 197.67, bb2_lower
2024-11-01 09:32:00, 100005.89, 80096.99, 19908.9, CMCSA, 112, 44.26, 44.26, 43.82, 43.28, SMA_5
2024-11-01 09:33:00, 99973.79, 75337.1, 24636.69, AMZN, 75, 199.9, 199.88, 197.98, 197.67, bb2_lower
2024-11-01 09:33:00, 99973.79, 75337.1, 24636.69, CMCSA, 112, 44.26, 44.16, 43.82, 43.71, SMA_5
2024-11-01 09:33:00, 99973.79, 75337.1, 24636.69, BKNG, 1, 4699.56, 4699.56, 4652.56, 4581.84, SMA_20
2024-11-01 09:34:00, 99971.77, 70079.75, 29892.02, AMZN, 75, 199.9, 199.54, 197.98, 197.67, bb2_lower
2024-11-01 09:34:00, 99971.77, 70079.75, 29892.02, CMCSA, 224, 44.37, 44.48, 44.04, 43.71, SMA_5
2024-11-01 09:34:00, 99971.77, 70079.75, 29892.02, SMAR, 88, 56.38, 56.38, 55.82, 55.26, SMA_240
2024-11-01 09:35:00, 99842.32, 75231.42, 24610.9, CMCSA, 336, 44.4, 44.47, 44.04, 43.71, SMA_5
2024-11-01 09:35:00, 99842.32, 75231.42, 24610.9, SMAR, 88, 56.38, 56.36, 55.82, 55.82, SMA_240
2024-11-01 09:35:00, 99842.32, 75231.42, 24610.9, BKNG, 1, 4709.3, 4709.3, 4662.2, 4581.84, SMA_20
2024-11-01 09:36:00, 99827.27, 70016.73, 29810.54, CMCSA, 336, 44.4, 44.41, 44.04, 43.71, SMA_5
2024-11-01 09:36:00, 99827.27, 70016.73, 29810.54, SMAR, 88, 56.38, 56.37, 55.82, 55.82, SMA_240
2024-11-01 09:36:00, 99827.27, 70016.73, 29810.54, CRH, 52, 95.58, 95.58, 94.62, 93.61, SMA_60
2024-11-01 09:36:00, 99827.27, 70016.73, 29810.54, WMB, 94, 52.75, 52.75, 52.22, 51.64, SMA_120
2024-11-01 09:37:00, 99918.06, 60337.03, 39581.03, CMCSA, 336, 44.4, 44.66, 44.21, 43.71, SMA_5
2024-11-01 09:37:00, 99918.06, 60337.03, 39581.03, SMAR, 88, 56.38, 56.37, 55.82, 55.82, SMA_240
2024-11-01 09:37:00, 99918.06, 60337.03, 39581.03, CRH, 104, 95.58, 95.58, 94.62, 94.55, SMA_60
2024-11-01 09:37:00, 99918.06, 60337.03, 39581.03, WMB, 94, 52.75, 52.83, 52.3, 52.16, SMA_120
2024-11-01 09:37:00, 99918.06, 60337.03, 39581.03, BKNG, 1, 4709.8, 4709.8, 4662.7, 4581.84, SMA_20
2024-11-01 09:38:00, 99878.97, 55100.13, 44778.84, CMCSA, 336, 44.4, 44.56, 44.21, 43.71, SMA_5
2024-11-01 09:38:00, 99878.97, 55100.13, 44778.84, SMAR, 88, 56.38, 56.37, 55.82, 55.82, SMA_240
2024-11-01 09:38:00, 99878.97, 55100.13, 44778.84, CRH, 156, 95.6, 95.63, 94.67, 94.55, SMA_60
2024-11-01 09:38:00, 99878.97, 55100.13, 44778.84, WMB, 188, 52.78, 52.81, 52.3, 52.16, SMA_120
2024-11-01 09:39:00, 99862.37, 60375.82, 39486.55, CMCSA, 336, 44.4, 44.49, 44.21, 43.71, SMA_5
2024-11-01 09:39:00, 99862.37, 60375.82, 39486.55, SMAR, 88, 56.38, 56.38, 55.82, 55.82, SMA_240
