시간, 매매, 종목, 수량, 현재가, 평균가, 현금변화, 이익
2024-11-01 09:30:00, BUY, TEAM, 22, 223.06, 223.06, -4907.3, 0.0
2024-11-01 09:30:00, BUY, CMCSA, 113, 44.04, 44.04, -4977.08, 0.0
2024-11-01 09:31:00, SELL, CMCSA, 113, 44.23, 44.04, 4997.99, 20.9
2024-11-01 09:31:00, BUY, AMZN, 25, 199.83, 199.83, -4995.75, 0.0
2024-11-01 09:31:00, BUY, BKNG, 1, 4677.18, 4677.18, -4677.18, 0.0
2024-11-01 09:32:00, SELL, BKNG, 1, 4699.56, 4677.18, 4699.56, 22.38
2024-11-01 09:32:00, BUY, AMZN, 24, 199.98, 199.83, -4799.58, 0.0
2024-11-01 09:32:00, BUY, CMCSA, 112, 44.26, 44.26, -4957.12, 0.0
2024-11-01 09:33:00, SELL, TEAM, 22, 219.89, 223.06, 4837.58, -69.72
2024-11-01 09:33:00, BUY, AMZN, 25, 199.88, 199.9, -4997.07, 0.0
2024-11-01 09:33:00, BUY, BKNG, 1, 4699.56, 4699.56, -4699.56, 0.0
2024-11-01 09:34:00, SELL, BKNG, 1, 4686.85, 4699.56, 4686.85, -12.7
2024-11-01 09:34:00, BUY, CMCSA, 112, 44.48, 44.26, -4982.32, 0.0
2024-11-01 09:34:00, BUY, SMAR, 88, 56.38, 56.38, -4961.88, 0.0
2024-11-01 09:35:00, SELL, AMZN, 74, 197.89, 199.9, 14643.72, -148.69
2024-11-01 09:35:00, BUY, CMCSA, 112, 44.47, 44.37, -4980.64, 0.0
2024-11-01 09:35:00, BUY, ETR, 64, 77.07, 77.07, -4932.48, 0.0
2024-11-01 09:36:00, BUY, CRH, 52, 95.58, 95.58, -4970.16, 0.0
2024-11-01 09:36:00, BUY, ETR, 64, 76.89, 77.07, -4920.96, 0.0
2024-11-01 09:37:00, BUY, CRH, 52, 95.58, 95.58, -4969.9, 0.0
2024-11-01 09:37:00, BUY, ETR, 65, 76.69, 76.98, -4984.85, 0.0
2024-11-01 09:38:00, BUY, BKNG, 1, 4700.0, 4700.0, -4700.0, 0.0
2024-11-01 09:38:00, BUY, CRH, 52, 95.63, 95.58, -4972.76, 0.0
2024-11-01 09:39:00, SELL, BKNG, 1, 4700.0, 4700.0, 4700.0, 0.0
2024-11-01 09:39:00, SELL, CRH, 156, 95.74, 95.6, 14934.66, 21.84
2024-11-01 09:39:00, BUY, WMB, 94, 52.76, 52.76, -4958.97, 0.0
2024-11-01 09:39:00, BUY, TRGP, 29, 167.88, 167.88, -4868.52, 0.0
2024-11-01 09:40:00, BUY, CRH, 52, 95.72, 95.72, -4977.7, 0.0
2024-11-01 09:40:00, BUY, WMB, 94, 52.73, 52.76, -4956.62, 0.0
2024-11-01 09:41:00, BUY, CRH, 52, 95.7, 95.72, -4976.4, 0.0
2024-11-01 09:42:00, BUY, TEAM, 22, 223.2, 223.2, -4910.4, 0.0
2024-11-01 09:42:00, BUY, GEV, 16, 304.75, 304.75, -4876.04, 0.0
2024-11-01 09:43:00, BUY, TEAM, 22, 223.45, 223.2, -4915.9, 0.0
2024-11-01 09:43:00, BUY, GEV, 16, 303.99, 304.75, -4863.84, 0.0
2024-11-01 09:44:00, BUY, BKNG, 1, 4695.0, 4695.0, -4695.0, 0.0
2024-11-01 09:44:00, BUY, GEV, 16, 304.33, 304.37, -4869.23, 0.0
2024-11-01 09:45:00, SELL, BKNG, 1, 4695.0, 4695.0, 4695.0, 0.0
2024-11-01 09:45:00, SELL, GEV, 48, 304.71, 304.36, 14626.08, 16.97
2024-11-01 09:45:00, SELL, TEAM, 44, 219.7, 223.32, 9666.58, -159.72
2024-11-01 09:45:00, BUY, CRH, 52, 95.61, 95.71, -4971.72, 0.0
2024-11-01 09:46:00, SELL, CMCSA, 336, 44.19, 44.4, 14847.84, -72.24
